# time [s],                    x_linear_position [m],                    y_linear_position [m],                    z_linear_position [m],                    x_orientation,                    y_orientation,                    z_orientation,                    w_orientation
1.536097411110763073e+09,6.254869746265923604e+05,5.041726541242092848e+06,2.450473025077316436e+01,-2.025584376037178891e-02,1.451127361072411699e-02,1.922356428919060056e-02,9.995046664762348154e-01
1.536097411503753185e+09,6.254871446424318710e+05,5.041726558710520156e+06,2.450435319283392488e+01,-9.306288753749787646e-03,5.517975224773243904e-03,3.416311547009968919e-02,9.993577069700455562e-01
1.536097412013003826e+09,6.254872869249904761e+05,5.041726564583343454e+06,2.450340908947082497e+01,-9.436818269862701225e-03,5.291646425354464001e-03,5.828474057603263286e-02,9.982413705888145694e-01
1.536097412447850227e+09,6.254873921970062656e+05,5.041726589114096947e+06,2.449943481487110475e+01,-5.348958583809798259e-03,1.250575719619977967e-02,8.008116327372871712e-02,9.966955412600905229e-01
1.536097412876296997e+09,6.254862807183925761e+05,5.041726707557677291e+06,2.450976374893576448e+01,-6.294984551204393756e-03,1.205730029823066235e-02,1.565040454008237159e-01,9.875836564323020594e-01
1.536097413356464863e+09,6.254863905704040080e+05,5.041726757069764659e+06,2.450875741184608003e+01,-4.972128106473396210e-03,7.045052574670756726e-03,1.847190322076889546e-01,9.827535420015376388e-01
1.536097413801088572e+09,6.254865193310112227e+05,5.041726812061588280e+06,2.451038890069294141e+01,-5.171295420402698996e-03,6.900183139742008601e-03,2.127095429138172178e-01,9.770774255552668874e-01
1.536097414247806311e+09,6.254866397825429449e+05,5.041726868967434391e+06,2.450300638997205738e+01,-1.500642317497996765e-02,1.096778875242516472e-02,2.410888542452714611e-01,9.703250379290837557e-01
1.536097414704159975e+09,6.254865539043487515e+05,5.041727001446769573e+06,2.450140921012657103e+01,-1.567176977380349209e-02,9.994036160695987311e-03,3.021394863666790886e-01,9.530824967711110096e-01
1.536097415147772789e+09,6.254866496670000488e+05,5.041727078455685638e+06,2.449752086639301396e+01,-1.436475431701633850e-03,8.440382820922661192e-03,3.260812572690218181e-01,9.453029726675065136e-01
1.536097415606962442e+09,6.254867267256390769e+05,5.041727166678715497e+06,2.449220932368831427e+01,-1.680869312503500490e-03,8.395129670463274615e-03,3.533831850874698532e-01,9.354394801234366952e-01
1.536097416061586142e+09,6.254868354593564291e+05,5.041727260615400039e+06,2.448762128928124326e+01,-1.923973473087118137e-03,8.342772315271819103e-03,3.804013591451559373e-01,9.247818674891330470e-01
1.536097416507835388e+09,6.254869494607824599e+05,5.041727364901839755e+06,2.448758204271718597e+01,-7.826435104475424481e-03,1.121270151526736550e-02,4.001462329723866618e-01,9.163492862856899013e-01
1.536097416952076435e+09,6.254871161299652886e+05,5.041726362682495266e+06,2.451076722506375205e+01,-4.776992094995461888e-03,1.281242007738566530e-02,1.585263017897972360e-01,9.872600639543438472e-01
1.536097417390429497e+09,6.254872759722289629e+05,5.041726398733812384e+06,2.451107772725928768e+01,-6.195269923906690512e-03,9.089714826658488664e-03,1.663128614595015542e-01,9.860116773284648417e-01
1.536097417838960648e+09,6.254874260515819769e+05,5.041726448325994425e+06,2.450843181821904082e+01,-6.197621077816361373e-03,9.088111907092927960e-03,1.665679210581135494e-01,9.859686219090939563e-01
1.536097418292230368e+09,6.254875547616113909e+05,5.041726498688455671e+06,2.450560451192421496e+01,-1.046394574318628562e-02,1.052047486437831560e-02,1.770363082308796521e-01,9.840924606032163124e-01
1.536097418742292166e+09,6.254876748625765322e+05,5.041726555700556375e+06,2.450188471814125180e+01,-1.064028957271596042e-02,1.034208826577661874e-02,1.936461914567389475e-01,9.809592132104227868e-01
1.536097419196469069e+09,6.254877559771545930e+05,5.041726607269087806e+06,2.450187083948288702e+01,2.025353484108058030e-03,8.492993650536134406e-03,2.258744462164010147e-01,9.741172935270938638e-01
