# time [s],                    latitude [deg, +ve = towards North]                    longitude [deg, +ve = towards East]                    altitude [m]
1.536097405946920633e+09,4.551777962833332936e+01,-7.339333767333332048e+01,2.565999984741210938e+01
1.536097405994037151e+09,4.551777955499999706e+01,-7.339333766333332676e+01,2.567000007629394531e+01
1.536097406080020189e+09,4.551777958499999954e+01,-7.339333768000000191e+01,2.567000007629394531e+01
1.536097406123266935e+09,4.551777952000000482e+01,-7.339333761500000719e+01,2.564999961853027344e+01
1.536097406180080414e+09,4.551777950500000003e+01,-7.339333759666666879e+01,2.567000007629394531e+01
1.536097406219796658e+09,4.551777949666666245e+01,-7.339333758833332411e+01,2.564999961853027344e+01
1.536097406268218994e+09,4.551777950666666328e+01,-7.339333759999999529e+01,2.563999938964843750e+01
1.536097406317179680e+09,4.551777967166665917e+01,-7.339333758833332411e+01,2.565999984741210938e+01
1.536097406365123987e+09,4.551777968999999757e+01,-7.339333748666666679e+01,2.567000007629394531e+01
1.536097406423615456e+09,4.551777969666667190e+01,-7.339333747999999957e+01,2.568000030517578125e+01
1.536097406463204384e+09,4.551777966833333267e+01,-7.339333748333334029e+01,2.567000007629394531e+01
1.536097406511473894e+09,4.551777967333334374e+01,-7.339333751166667241e+01,2.567000007629394531e+01
1.536097406559940100e+09,4.551777967500000699e+01,-7.339333754333333104e+01,2.567000007629394531e+01
1.536097406608921289e+09,4.551777968666667107e+01,-7.339333749166667076e+01,2.565999984741210938e+01
1.536097406656920433e+09,4.551777970999999923e+01,-7.339333744000001047e+01,2.563999938964843750e+01
1.536097406706753016e+09,4.551777974333332821e+01,-7.339333748833333004e+01,2.563999938964843750e+01
1.536097406754758358e+09,4.551777965666666859e+01,-7.339333746833332839e+01,2.565999984741210938e+01
1.536097406802569628e+09,4.551777974500000568e+01,-7.339333751499999892e+01,2.563999938964843750e+01
1.536097406851881027e+09,4.551777974666666893e+01,-7.339333754333333104e+01,2.563999938964843750e+01
1.536097406901720762e+09,4.551777974666666893e+01,-7.339333761166666648e+01,2.565999984741210938e+01
1.536097406948331356e+09,4.551777977666667141e+01,-7.339333737666666480e+01,2.563999938964843750e+01
1.536097406995127678e+09,4.551777973500000485e+01,-7.339333737333332408e+01,2.562999916076660156e+01
1.536097407089288473e+09,4.551777975666666975e+01,-7.339333740666666017e+01,2.562999916076660156e+01
1.536097407128054380e+09,4.551777968166666000e+01,-7.339333734999999592e+01,2.562000083923339844e+01
1.536097407173403025e+09,4.551777964500000451e+01,-7.339333733333333498e+01,2.562000083923339844e+01
1.536097407220504045e+09,4.551777966833333267e+01,-7.339333733166667173e+01,2.562000083923339844e+01
1.536097407268932343e+09,4.551777969500000864e+01,-7.339333734333332870e+01,2.562000083923339844e+01
1.536097407318291664e+09,4.551777964833333101e+01,-7.339333735333333664e+01,2.562000083923339844e+01
1.536097407366337538e+09,4.551777949499999920e+01,-7.339333735666667735e+01,2.563999938964843750e+01
1.536097407416365147e+09,4.551777958666666279e+01,-7.339333736833333433e+01,2.564999961853027344e+01
1.536097407463811398e+09,4.551777949333333595e+01,-7.339333722166665552e+01,2.565999984741210938e+01
1.536097407513380289e+09,4.551777952666666494e+01,-7.339333713833333661e+01,2.565999984741210938e+01
1.536097407561581612e+09,4.551777946166667022e+01,-7.339333708499999886e+01,2.565999984741210938e+01
1.536097407611405373e+09,4.551777948000000862e+01,-7.339333680166666340e+01,2.565999984741210938e+01
1.536097407658559561e+09,4.551777944499999506e+01,-7.339333662333334019e+01,2.565999984741210938e+01
1.536097407707410097e+09,4.551777951666666411e+01,-7.339333639666666897e+01,2.568000030517578125e+01
1.536097407756088495e+09,4.551777942666665666e+01,-7.339333606499999973e+01,2.569000053405761719e+01
1.536097407805033207e+09,4.551777939166666442e+01,-7.339333579333333546e+01,2.569000053405761719e+01
1.536097407853531837e+09,4.551777933666667053e+01,-7.339333544500000528e+01,2.569000053405761719e+01
1.536097407902204037e+09,4.551777924999999669e+01,-7.339333511499999929e+01,2.567000007629394531e+01
1.536097407950316906e+09,4.551777925833333427e+01,-7.339333472500000255e+01,2.567000007629394531e+01
1.536097407997796535e+09,4.551777920833333013e+01,-7.339333449333334158e+01,2.567000007629394531e+01
1.536097408084753513e+09,4.551777921833333096e+01,-7.339333438833334355e+01,2.569000053405761719e+01
