# time [s],                        UTM easting [m, +ve = towards East]                        UTM northing [m, +ve = towards North]                        altitude [m]
1.536097405946920633e+09,6.254836018867812818e+05,5.041727195919705555e+06,2.565999984741210938e+01
1.536097405994037151e+09,6.254836028308374807e+05,5.041727187788243406e+06,2.567000007629394531e+01
1.536097406080020189e+09,6.254836014624445233e+05,5.041727191095094196e+06,2.567000007629394531e+01
1.536097406123266935e+09,6.254836066835665843e+05,5.041727183975404128e+06,2.564999961853027344e+01
1.536097406180080414e+09,6.254836081487806514e+05,5.041727182337607257e+06,2.567000007629394531e+01
1.536097406219796658e+09,6.254836088181562955e+05,5.041727181424825452e+06,2.564999961853027344e+01
1.536097406268218994e+09,6.254836078847369645e+05,5.041727182517557405e+06,2.563999938964843750e+01
1.536097406317179680e+09,6.254836084290841827e+05,5.041727200866748579e+06,2.565999984741210938e+01
1.536097406365123987e+09,6.254836163286627270e+05,5.041727203062424436e+06,2.567000007629394531e+01
1.536097406423615456e+09,6.254836168345183833e+05,5.041727203813489527e+06,2.568000030517578125e+01
1.536097406463204384e+09,6.254836166371718282e+05,5.041727200660538860e+06,2.567000007629394531e+01
1.536097406511473894e+09,6.254836144131738693e+05,5.041727201171739958e+06,2.567000007629394531e+01
1.536097406559940100e+09,6.254836119362487225e+05,5.041727201307407580e+06,2.567000007629394531e+01
1.536097406608921289e+09,6.254836159455643501e+05,5.041727202684286982e+06,2.565999984741210938e+01
1.536097406656920433e+09,6.254836199289419455e+05,5.041727205357298255e+06,2.563999938964843750e+01
1.536097406706753016e+09,6.254836160799183417e+05,5.041727208984977566e+06,2.563999938964843750e+01
1.536097406754758358e+09,6.254836178346357774e+05,5.041727199387856759e+06,2.565999984741210938e+01
1.536097406802569628e+09,6.254836139935015235e+05,5.041727209128461778e+06,2.563999938964843750e+01
1.536097406851881027e+09,6.254836117769144475e+05,5.041727209269337356e+06,2.563999938964843750e+01
1.536097406901720762e+09,6.254836064399647294e+05,5.041727209162534215e+06,2.565999984741210938e+01
1.536097406948331356e+09,6.254836247271654429e+05,5.041727212862733752e+06,2.563999938964843750e+01
1.536097406995127678e+09,6.254836250801418209e+05,5.041727208238915540e+06,2.562999916076660156e+01
1.536097407089288473e+09,6.254836224285801873e+05,5.041727210593910888e+06,2.562999916076660156e+01
1.536097407128054380e+09,6.254836270210884977e+05,5.041727202350225300e+06,2.562000083923339844e+01
1.536097407173403025e+09,6.254836284043032210e+05,5.041727198302729055e+06,2.562000083923339844e+01
1.536097407220504045e+09,6.254836284825960174e+05,5.041727200897589326e+06,2.562000083923339844e+01
1.536097407268932343e+09,6.254836275121232029e+05,5.041727203841934912e+06,2.562000083923339844e+01
1.536097407318291664e+09,6.254836268348583253e+05,5.041727198641791008e+06,2.562000083923339844e+01
1.536097407366337538e+09,6.254836269154194742e+05,5.041727181601753458e+06,2.563999938964843750e+01
1.536097407416365147e+09,6.254836258004340343e+05,5.041727191767382436e+06,2.564999961853027344e+01
1.536097407463811398e+09,6.254836374628562480e+05,5.041727181627593935e+06,2.565999984741210938e+01
1.536097407513380289e+09,6.254836438972208416e+05,5.041727185461063869e+06,2.565999984741210938e+01
1.536097407561581612e+09,6.254836482071572682e+05,5.041727178323138505e+06,2.565999984741210938e+01
1.536097407611405373e+09,6.254836702952107880e+05,5.041727180802752264e+06,2.565999984741210938e+01
1.536097407658559561e+09,6.254836843011610908e+05,5.041727177193095908e+06,2.565999984741210938e+01
1.536097407707410097e+09,6.254837018448780291e+05,5.041727185509301722e+06,2.568000030517578125e+01
1.536097407756088495e+09,6.254837279487017076e+05,5.041727176028982736e+06,2.569000053405761719e+01
1.536097407805033207e+09,6.254837492441439535e+05,5.041727172565208748e+06,2.569000053405761719e+01
1.536097407853531837e+09,6.254837765718480805e+05,5.041727166999325156e+06,2.569000053405761719e+01
1.536097407902204037e+09,6.254838025380917825e+05,5.041727157886724919e+06,2.567000007629394531e+01
1.536097407950316906e+09,6.254838329792260192e+05,5.041727159422092140e+06,2.567000007629394531e+01
1.536097407997796535e+09,6.254838511839484563e+05,5.041727154229343869e+06,2.567000007629394531e+01
1.536097408084753513e+09,6.254838593623945490e+05,5.041727155504423194e+06,2.569000053405761719e+01
1.536097408127187014e+09,6.254838838342598174e+05,5.041727155994155444e+06,2.570000076293945312e+01
1.536097408174401999e+09,6.254838925699597457e+05,5.041727148944798857e+06,2.570999908447265625e+01
1.536097408222671270e+09,6.254839138621748425e+05,5.041727152149429545e+06,2.569000053405761719e+01
1.536097408272560596e+09,6.254839421529432293e+05,5.041727144009524025e+06,2.569000053405761719e+01
1.536097408321543932e+09,6.254839704557821387e+05,5.041727148280629888e+06,2.567000007629394531e+01
1.536097408368727684e+09,6.254839842263757018e+05,5.041727130403144285e+06,2.569000053405761719e+01
1.536097408417959690e+09,6.254840059090992436e+05,5.041727133615590632e+06,2.569000053405761719e+01
1.536097408466816664e+09,6.254840301285142777e+05,5.041727140213038772e+06,2.567000007629394531e+01
1.536097408516664505e+09,6.254840512725119479e+05,5.041727150824118406e+06,2.569000053405761719e+01
1.536097408565035820e+09,6.254840659367198823e+05,5.041727146857165731e+06,2.570999908447265625e+01
1.536097408612819910e+09,6.254840897989757359e+05,5.041727151780348271e+06,2.571999931335449219e+01
1.536097408660739183e+09,6.254841079295912059e+05,5.041727150290826336e+06,2.570999908447265625e+01
1.536097408711353302e+09,6.254841334312169347e+05,5.041727144873636775e+06,2.570000076293945312e+01
1.536097408759970665e+09,6.254840902332129190e+05,5.041726433816856705e+06,2.751000022888183594e+01
1.536097408807441950e+09,6.254841073076506145e+05,5.041726433047140948e+06,2.750000000000000000e+01
1.536097408856222868e+09,6.254841328273297986e+05,5.041726420220896602e+06,2.754000091552734375e+01
1.536097408905459642e+09,6.254841876592932967e+05,5.041726432802790776e+06,2.747999954223632812e+01
1.536097408954118967e+09,6.254842219309289940e+05,5.041726431636286899e+06,2.747999954223632812e+01
1.536097409000037193e+09,6.254842466594299767e+05,5.041726432316389866e+06,2.746999931335449219e+01
1.536097409085594654e+09,6.254842697646979941e+05,5.041726409994827583e+06,2.751000022888183594e+01
1.536097409128672361e+09,6.254843037458732724e+05,5.041726403821157292e+06,2.744000053405761719e+01
1.536097409177457571e+09,6.254843361363259610e+05,5.041726412064005621e+06,2.742000007629394531e+01
1.536097409226563931e+09,6.254843548098527826e+05,5.041726409473937936e+06,2.742000007629394531e+01
1.536097409274532318e+09,6.254843839302915148e+05,5.041726405425817706e+06,2.740999984741210938e+01
1.536097409323411465e+09,6.254844888451219304e+05,5.041726433643572032e+06,2.726000022888183594e+01
1.536097409371551991e+09,6.254845064592440613e+05,5.041726438441715203e+06,2.725000000000000000e+01
1.536097409421237469e+09,6.254845283944215626e+05,5.041726435546449386e+06,2.725000000000000000e+01
1.536097409469571352e+09,6.254845576247074641e+05,5.041726458544886671e+06,2.715999984741210938e+01
1.536097409517715931e+09,6.254846629791713785e+05,5.041726497329857200e+06,2.700000000000000000e+01
1.536097409565981865e+09,6.254846896310501033e+05,5.041726506013575010e+06,2.700000000000000000e+01
1.536097409615639448e+09,6.254847170476895990e+05,5.041726496003826149e+06,2.698999977111816406e+01
1.536097409663276196e+09,6.254847435272050789e+05,5.041726487271972001e+06,2.698999977111816406e+01
1.536097409712196827e+09,6.254842917394384276e+05,5.041726287994029000e+06,2.795999908447265625e+01
1.536097409761352062e+09,6.254843261412451975e+05,5.041726286830130033e+06,2.795000076293945312e+01
1.536097409809563875e+09,6.254843264344548807e+05,5.041726278685640544e+06,2.796999931335449219e+01
1.536097409859006643e+09,6.254843525985270971e+05,5.041726279209239408e+06,2.798999977111816406e+01
1.536097409907238483e+09,6.254853417403360363e+05,5.041726683737956919e+06,2.600000000000000000e+01
1.536097409955044031e+09,6.254853276097158669e+05,5.041726661041695625e+06,2.605999946594238281e+01
1.536097410002472162e+09,6.254853361110175028e+05,5.041726652691000141e+06,2.610000038146972656e+01
1.536097410089060783e+09,6.254853217682315735e+05,5.041726627582432702e+06,2.618000030517578125e+01
1.536097410131989241e+09,6.254848211709945463e+05,5.041726381574532948e+06,2.726000022888183594e+01
1.536097410179884911e+09,6.254848482976516243e+05,5.041726373040864244e+06,2.727000045776367188e+01
1.536097410228198290e+09,6.254848683437564177e+05,5.041726373442031443e+06,2.725000000000000000e+01
1.536097410277103424e+09,6.254848918293741299e+05,5.041726364650264382e+06,2.723999977111816406e+01
1.536097410325846195e+09,6.254852160684593255e+05,5.041726495431929827e+06,2.664999961853027344e+01
1.536097410375081778e+09,6.254852394683730090e+05,5.041726484415623359e+06,2.663999938964843750e+01
1.536097410421910048e+09,6.254852642038080376e+05,5.041726478242163546e+06,2.664999961853027344e+01
1.536097410471742868e+09,6.254852723437675741e+05,5.041726461919117719e+06,2.668000030517578125e+01
1.536097410520506859e+09,6.254852268450468546e+05,5.041726425443397835e+06,2.677000045776367188e+01
1.536097410568577528e+09,6.254852487389866728e+05,5.041726418101662770e+06,2.678000068664550781e+01
1.536097410616868734e+09,6.254852902894752333e+05,5.041726424119769596e+06,2.672999954223632812e+01
1.536097410665148735e+09,6.254853267165032448e+05,5.041726399841988459e+06,2.673999977111816406e+01
1.536097410714862585e+09,6.254853618664535461e+05,5.041726406843420118e+06,2.669000053405761719e+01
1.536097410764073610e+09,6.254853767645892221e+05,5.041726397694563493e+06,2.670999908447265625e+01
