FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
StartTime,02/10/2017 16:13:52

DEVICE_INFO
ModelName,3DM-GX3-35
ModelNumber,6225-4220
SerialNumber,6225-01353
DeviceOptions,GPS
FirmwareVersion,1.1.19

DATA_START
GPS TFlags,GPS Week,GPS TOW,Roll [x800C],Pitch [x800C],Yaw [x800C],M11 [x8009],M12 [x8009],M13 [x8009],M21 [x8009],M22 [x8009],M23 [x8009],M31 [x8009],M32 [x8009],M33 [x8009],X Accel [x8004],Y Accel [x8004],Z Accel [x8004],X Gyro [x8005],Y Gyro [x8005],Z Gyro [x8005],X Mag [x8006],Y Mag [x8006],Z Mag [x8006],Lat [x8103],Long [x8103],Height [x8103],MSL Height [x8103],Horz Acc [x8103],Vert Acc [x8103],Flags [x8103],UTC Year [x8108],UTC Month [x8108],UTC Day [x8108],UTC Hour [x8108],UTC Minute [x8108],UTC Second [x8108],UTC Millesecond [x8108],Flags [x8108],SVI Channel [x810C],SVI ID [x810C],SVI CNR [x810C],SVI Azimuth [x810C],SVI Elev [x810C],SVI Flags [x810C],[x810C],HW Sensor Stat [x810D],HW Ant Stat [x810D],HW Ant Pwr [x810D],Flags [x810D],GPS Fix [x810B],GPS SVs Used [x810B],GPS Fix Flags [x810B]
5,1969,137649.863104,0.01185193,-0.01544605,-0.03873121,0.99913085,-0.0387169,0.01544544,0.03853589,0.99918693,0.01185023,-0.01589169,-0.01124473,0.99981046,-0.01997892,-0.00888364,-1.00313628,-0.00322075,-0.00357919,-0.00075366,0.12053401,0.01068781,0.58503127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.873104,0.01185193,-0.01544605,-0.03873121,0.99913085,-0.0387169,0.01544544,0.03853589,0.99918693,0.01185023,-0.01589169,-0.01124473,0.99981046,-0.01926521,-0.01010253,-1.00255585,-0.00081308,-0.00215866,0.00207774,0.12096528,0.01101329,0.58494896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.883104,0.01185193,-0.01544605,-0.03873121,0.99913085,-0.0387169,0.01544544,0.03853589,0.99918693,0.01185023,-0.01589169,-0.01124473,0.99981046,-0.01916924,-0.00970554,-1.00389349,0.00183165,-0.00174287,0.00173829,0.12056091,0.0112404,0.58509183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.893104,0.01185193,-0.01544605,-0.03873121,0.99913085,-0.0387169,0.01544544,0.03853589,0.99918693,0.01185023,-0.01589169,-0.01124473,0.99981046,-0.02009556,-0.01016549,-1.00361848,0.00095105,-0.00159921,-0.00132363,0.12063129,0.01072364,0.58474201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.903104,0.01185193,-0.01544605,-0.03873121,0.99913085,-0.0387169,0.01544544,0.03853589,0.99918693,0.01185023,-0.01589169,-0.01124473,0.99981046,-0.02022481,-0.01112021,-1.00444555,0.00188716,0.00013896,-0.00041824,0.12064934,0.01042368,0.58488029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.913104,0.01185193,-0.01544605,-0.03873121,0.99913085,-0.0387169,0.01544544,0.03853589,0.99918693,0.01185023,-0.01589169,-0.01124473,0.99981046,-0.01816022,-0.01073991,-1.0040257,0.00058691,-0.00104164,0.00422291,0.12034027,0.01113554,0.58542138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.923104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.01828472,-0.01090546,-1.00363648,-0.00280373,0.00433645,0.00355071,0.12060817,0.01108028,0.58488685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.933104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.02057307,-0.01168078,-1.00378287,-0.000167,0.00144153,0.00156777,0.12042928,0.01108437,0.58502853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.943104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.01990874,-0.01090168,-1.00242603,0.0030155,0.00090714,0.00137679,0.12074932,0.0112747,0.58556712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.953104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.01956831,-0.01046245,-1.00355184,-0.00310879,0.00562019,-0.00442998,0.12098078,0.01138701,0.58517385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.963104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.01900574,-0.0107386,-1.00484884,0.00128648,0.00559996,0.00135531,0.1210054,0.01100437,0.58490837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.973104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.01987282,-0.01023303,-1.00501752,0.00171429,0.00408402,0.00533317,0.12060996,0.01049076,0.58493197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.983104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.01968386,-0.00971206,-1.00351477,0.00100354,0.00412427,0.00662406,0.12019214,0.01057568,0.58516848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137649.993104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.01925212,-0.01079199,-1.0041275,0.00318018,0.00129752,0.00126904,0.12041541,0.01066357,0.58464217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.003104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.02017063,-0.01048444,-1.00381696,0.00565884,0.00504366,0.00252716,0.12068302,0.01048327,0.58469039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.013104,0.01171059,-0.0155982,-0.03905508,0.999116,-0.0390404,0.01559756,0.03885996,0.99917608,0.0117089,-0.01604183,-0.01109242,0.99980986,-0.01889245,-0.0113626,-1.00314307,0.00391021,0.00357531,-0.00255101,0.12058424,0.01002756,0.58409768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.023104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.02003673,-0.01080356,-1.00294375,0.00161027,0.00237949,-0.00459946,0.12105533,0.01005548,0.5838325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.033104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.01875772,-0.01063668,-1.00226617,0.00047058,0.00312385,-0.00206826,0.12120807,0.01020189,0.58349651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.043104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.01942558,-0.01005154,-1.00382543,-0.00093638,0.00248772,-0.0026537,0.12066573,0.00974588,0.58368933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.053104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.01890447,-0.00973223,-1.00217009,0.00727678,-0.00037521,-0.00366035,0.12096201,0.01001179,0.58386678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.063104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.01992417,-0.00993849,-1.00229859,-0.00139103,0.00061469,0.00296244,0.12045784,0.0104491,0.58430856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.073104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.01768389,-0.00933247,-1.00326741,-0.0018697,0.00039567,0.00457705,0.12024398,0.01107016,0.58482987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.083104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.01870891,-0.01109717,-1.00396252,0.00188895,0.00095522,-0.00115545,0.12054577,0.01130085,0.58533967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1969,137650.093104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.01868871,-0.01047054,-1.00309324,0.00331292,0.00154708,-0.00186194,0.12065181,0.01148641,0.58515531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.103104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.01953385,-0.0101224,-1.00299752,0.00351482,0.00402364,0.00135831,0.12053262,0.01122049,0.58524209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.113104,0.01187159,-0.01543672,-0.03876426,0.99912971,-0.03874993,0.01543611,0.03856871,0.99918538,0.0118699,-0.01588349,-0.01126422,0.99981046,-0.01876881,-0.0104705,-1.00414014,0.00047653,0.00208906,-0.00016292,0.12033924,0.01072608,0.58477658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.123104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.02031645,-0.01022006,-1.00324249,-0.00274522,-0.00038251,-0.00314624,0.12010881,0.01035922,0.58484876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.133104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01861066,-0.01074999,-1.0027802,0.00272923,-0.00057226,0.00063563,0.12045453,0.01062068,0.58480352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.143104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01894293,-0.01047665,-1.0025444,-0.00086755,-0.00433472,0.0029706,0.12040996,0.01051371,0.58496076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.153104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01833389,-0.01005919,-1.00340188,0.00177995,0.00007066,0.00128768,0.12049462,0.01056328,0.5848273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.163104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01938929,-0.01055958,-1.00372732,0.00126499,0.00018392,0.00162883,0.12066131,0.01084823,0.58460248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.173104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01909896,-0.01082698,-1.00349295,-0.00100935,-0.00442601,-0.00256983,0.12119699,0.01118439,0.58470803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.183104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01917449,-0.01044495,-1.00315189,-0.00046446,-0.00207377,-0.0017554,0.120997,0.01088211,0.58471394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.193104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01957636,-0.00932522,-1.00494313,-0.00301095,0.00035665,0.00275242,0.12090458,0.01098264,0.584786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.203104,0.0119458,-0.01542035,-0.03869217,0.99913281,-0.03867792,0.01541974,0.0384957,0.99918735,0.0119441,-0.01586919,-0.01134015,0.99980986,-0.01833678,-0.00991957,-1.00373149,0.00108725,0.00380727,0.00399178,0.12086555,0.01135163,0.58483499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
